Nombre,Ubicación,Categoría,Descripción,Horarios,URL,Page
Casa Quinta Durania,Alvarado,Hospedaje,"Sumérgete en un oasis de serenidad y encanto en Casa Quinta Durania, un rincón idílico ubicado en las calurosas tierras de Alvarado, Tolima. Al adentrarte serás recibido por un ambiente acogedor y tranquilo que te invita a desconectar y recargar energías, totalmente equipada desde su cocina hasta su increíble piscina con Jacuzzi. Con capacidad para 14 personas en hospedaje y 20 para alquiler de eventos sociales. Casa Quinta Durania tiene todo lo que necesitas para una experiencia inolvidable en el corazón del Tolima.",Lunes a Lunes 9:00 am a 05:00 pm,https://www.tolima.travel/prestadores-turisticos/casa-quinta-durania,2
Urapanes del Bosque,Cajamarca,Hospedaje,"¿ Quién dijo que en el Tolima no te podías hospedar en una casa en el Árbol ? Urapanes del bosque te hará el sueño realidad … Son un hospedaje rural lleno de magia natural ubicado a 12 km del municipio de Cajamarca, puerta de entrada al eje cafetero. Sus hermosas cabañas con diferentes acomodaciones , un restaurante a la mitad del bosque con su propia huerta y miradores para pasar una tarde de picnic estarán esperando para tus días de descanso y desconexión total.",Hospedaje - Bajo reservación 05:00 pm a 03:00 pm,https://www.tolima.travel/prestadores-turisticos/urapanes-del-bosque,2
Parque Nacional del Arroz,Alvarado,Recreacion,"El parque Nacional del Arroz y el Hotel Campestre La Guaira, es el lugar ideal para aquellos que buscan descanso, diversión y aventura. A través de sus múltiples experiencias de recorridos encima de un tractor “ Transguaira” atravesando gigantescos arrozales y conociendo su museo de antigüedades, hasta viviendo la experiencia de trabajar en una fábrica de arroz. Este parque temático es tan completo que tiene hospedaje, restaurantes y salones de eventos con capacidad para 60 personas.",Todos los días 09:00 am a 04:00 pm,https://www.tolima.travel/prestadores-turisticos/parque-nacional-del-arroz,2
Hotel Portal del Magdalena,Purificación,Hospedaje,"Son un Hotel con mas de 10 años de operación, cuentan con 33 habitaciones dotadas de aire acondicionado, tv 32"", baño privado y servicios como piscina, jacuzzi, baño turco, sala de masajes, gimnasio, parqueadero, terraza con zona de hamacas y mirador, recepción las 24 horas, salón de conferencias e internet WiFi. Se volvieron tan tesos, que en el último año decidieron emprender un proyecto llamado #PURIECOTURÍSTICO, con un solo fin , contribuir y potencializar el turismo de su lindo municipio, uno de sus planes más reconocidos es la navegación por el rio Magdalena mientras te cuentan la historia, cultura y gastronomía .",Lunes a Domingos 12:00 am a 12:00 am,https://www.tolima.travel/prestadores-turisticos/hotel-portal-del-magdalena,2
Complejo Turístico El Laguito de Armero,"Armero (Guayabal,1)",Recreacion,"El Complejo Turístico El Laguito de Armero es un lugar mágico rodeado de fauna y flora que nos ayuda a desconectarnos de la realidad en una piscina magnífica y unas cabañas que nos invitan a compartir una experiencia relajante fuera de nuestra cotidianidad. Somos el pulmón de Armero, Guayabal.",Lunes a Domingo 08:00 am a 06:00 pm,https://www.tolima.travel/prestadores-turisticos/complejo-turistico-el-laguito-de-armero,2
La Chiva Náutica,Prado,Recreacion,"¡Recorrer nuestro departamento por carretera es genial, pero recorrerlo en lancha es mucho mejor! Por eso, la chiva náutica, es tu mejor alternativa para vivir y disfrutar la magia de la Represa de Prado. Tiene para ti toures náuticos llenos de juegos, música, retos, bailes mientras navegas laberintos, cascadas y contemplas lo mejor de la fauna y flora. ¡Sus embarcaciones son una locura! tienen miradores panorámicos, bar, full sonido y sistemas de luces para que tengas la mejor experiencia náutica en el Tolima.",Lunes a Domingo 09:00 am a 05:00 pm,https://www.tolima.travel/prestadores-turisticos/la-chiva-nautica,2
Ukuku Rural Lodge,Ibagué,Hospedaje,"Ukuku es un bello y exclusivo ecolodge, adornado de hermosos jardines e inmerso en la montaña, creado y atendido por dos biologos, montañistas y fotografos ibaguereños, donde podras disfrutar de un revitalizante descanso, en armonía con la naturaleza y custodiado por el majestuoso nevado del Tolima, que te saludara en la mañana y te recordara las maravillas que la madre tierra ha creado para nuestro disfrute. Anímate a despertar con los trinos y los colores de nuestras más de 150 especies de aves registradas en el jardín, visitar nuestro jardín encantado de las orquídeas con 145 especies nativas del Cañón del Combeima, caminar por un tranquilo y colorido sendero al río, en la noche dejarte maravillar por los millones de estrellas que adornan el cielo e iluminan la fogata para reconectar con tu ser.",De lunes a viernes 08:00 am a 06:00 pm,https://www.tolima.travel/prestadores-turisticos/ukuku-rural-lodge,2
Eco Hotel Paraíso del Oriente,Icononzo,Hospedaje,"Si amas la naturaleza y disfrutas de estar rodeado de paz. ¡Este plan es para ti!. Bienvenidos a Paraíso del Oriente, nos encontramos ubicados en el Balcón del Oriente, Icononzo Tolima a tan solo 38 minutos de Melgar. Ofreciendote 5 experiencias magicas y diferentes!",Lunes a Domingo 12:00 am a 11:00 pm,https://www.tolima.travel/prestadores-turisticos/eco-hotel-paraiso-del-oriente,2
Hacienda El Retorno,Guamo,Hospedaje,"Hacienda típica rural que desarrolla ""Turismo de Naturaleza con enfoque al Medio Ambiente, Cultura Ancestral y Gastronomía Típica Rural"".",Martes a Domingo 09:00 am a 05:00 pm,https://www.tolima.travel/prestadores-turisticos/hacienda-el-retorno,2
Hotel Boutique 442,Ibagué,Hospedaje,"El Hotel Boutique 442, es un hotel ejecutivo y uno de los más modernos de la ciudad de Ibagué. Cuenta con 23 habitaciones de tipo sencillas, dobles, triples y suite. Dentro de sus principales servicios se encuentran televisión por cable, Wifi, aire acondicionado, ventilador, ducha con agua caliente, servicio de cafetería, lavandería y desayuno incluido en el alojamiento.",Lunes a domingo 12:00 am a 12:00 pm,https://www.tolima.travel/prestadores-turisticos/hotel-442,2
Parque Ecoturístico La Plata,Ibagué,Aventura,"El Parque Ecoturístico La Plata, es una reserva natural y forestal ubicada en el corregimiento de Pastales en la vereda La Plata, el brillante. Es un increíble parque que cuenta con la cascada más alta del Tolima, son 490 metros de altura que te dejaran lleno de asombro. También es un parque en el que se puede practicar: deportes extremos (canyoning, Rapel, Escalada enroca), Cabalgata ecológica, caminata a la Cueva Ibanasca. Cuenta con servicio de restaurante, hospedaje en (Camping), piscina en agua natural, zona de descanso en hamacas. Este parque es el destino ideal durante tu visita en la ciudad de Ibagué.",Martes a domingo y lunes festivos 09:00 am a 02:00 pm,https://www.tolima.travel/prestadores-turisticos/parque-ecoturistico-la-plata,2
Parque Yaporox,Purificación,Recreacion,"Viajeros, ¿se imaginan poder disfrutar de las olas del mar en el interior del país, y justamente en el departamento del Tolima? En el bello municipio de Purificación se alza orgulloso el Parque Yaporox, un espacio pensado para la diversión y el entretenimiento en familia y con amigos. Aquí podrás disfrutar de una enorme piscina de olas, y un tobogán extremo del que querrás deslizarte una y otra vez. Encontrarás piscinas para niños con dragones y barcos pirata, espacios que pondrán a volar la imaginación de los más pequeños. Te deleitarás con la deliciosa gastronomía que te ofrecerán a la carta durante todo el día, sino que tendrás exquisita comida rápida a disposición y bebidas a tu gusto. Y para terminar tu día, podrás hospedarte en su confortable zona de Camping.",MArtes a viernes 9:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/parque-yaporox,2
Restaurante Bar Casa Pinares,Ibagué,Hospedaje,"Deja que el fresco aire del cañón del combeima te llene de energía mientras recorres los senderos ecológicos que bordean este espectacular restaurante campestre que cuenta con una exquisita y variada gastronomía. En tan acogedoras instalaciones podrás disfrutar de un confortable hospedaje en habitaciones VIP, zonas de camping ideales para compartir con amigos y por qué no, de un delicioso cóctel en su bar; sala de juegos y parque infantil para los más pequeños. Te deleitarás con el hermoso paisaje de las montañas mientras das un paseo a caballo por los alrededores, podrás armar plan con tu familia y descansar en las amplias zonas verdes y relajarte en las cómodas hamacas mientras disfrutan de un dulce postre o helado.",Restaurante de viernes a domingo y lunes festivos 11:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/restaurante-bar-casa-pinares,3
Parque Temático Tacuraí,Ibagué,Aventura,"¿Viajeros del Tolima, están preparados para una aventura alucinante? A tan solo 20 minutos del Centro comercial la Estación por la Vda Ambalá encontraran este nuevo parque temático con aroma a café que romperá los esquemas de diversión en Ibagué. Se deleitarán de la diversidad de fauna y flora mientras recorren sus senderos de más de 10 km, tomaran de la buena energía que te regala la montaña y se deslizaran a más de 40 mts de altura entre cafetales mientras contemplas a Ibagué de fondo. Después de haber vivido un momento de adrenalina te espera una majestuosa cascada, su agua es helada!! Pero valdrá la pena estar en ella. Podrán visitar sus 4 miradores en los que la belleza de la musical los dejara impresionados. En el regreso del recorrido probarán la gastronomía preparada con productos cultivados en el parque! Y Viajeros cuando vayan, no olviden preguntar por el delicioso jugo de chachafruto! Es deliciosísimo. Así que visita la montaña de aventura extrema del Corredor Norte y olvídate el cuento de que en Ibagué no hay para hacer.",Lunes a viernes 3:00 am a 4:00 pm,https://www.tolima.travel/prestadores-turisticos/parque-tematico-tacurai,3
Parque Ecoturístico y extremo Yaguaré,Ibagué,Aventura,"Parque sumergido en el centro del Cañón del Combeima con esencia de mitología y aventura extrema. Sus puertas están abiertas para los amantes de la tranquilidad y diversión como tú. Recorrerás senderos, atravesaras desde el aire un gran cañón y te lanzarán hacia el cielo gracias a la tirolesa “El Mohán” y la “cauchera humana “La Candileja”. No olvides irte sin degustar su gastronomía hecha en leña y horno, comida hecha con amor por nativos de la región.","Sábados, domingos y festivos 10:00 am a 5:30 pm",https://www.tolima.travel/prestadores-turisticos/parque-ecoturistico-extremo-yaguare,3
Magic View Glamping,Ibagué,Hospedaje,"La mejor vista de Ibagué la encontrarás en Magic View Glamping, un espacio pensado para los amantes de la privacidad, gastronomía, comodidad, y la brisa fresca y suave. Esto podrás encontrarlo en dos puntos importantísimos del Tolima. En las montañas de la vereda Ambalá parte alta y en los alrededores de la represa Hidroprado. Brindan servicio de hospedaje en habitaciones tipo domo con espacios para descansar, jacuzzi y BBQ. Déjate maravillar por la naturaleza y vive noches con un hermoso cielo estrellado en la musical.",Lunes a domingo 12:00 am a 12:00 pm,https://www.tolima.travel/prestadores-turisticos/magic-view-glamping,3
Hotel Dann Combeima,Ibagué,Hospedaje,"Ubicado en el corazón de la musical y con sello de calidad y excelencia de una cadena hotelera importante de Colombia, el Hotel Dann ha sido por años el refugio del descanso de miles de turistas que decidieron visitar el hermoso destino de Ibagué, así como tú lo estás haciendo en este momento. Cuenta con más de 61 habitaciones, un restaurante llamado La terraza donde preparan unas exquisitas costillas Premium, 4 salones para eventos y muchos más servicios creados para tu comodidad y relajación. Las personas que se han hospedado en este hermoso hotel nos comentan que es muy difícil salir de allí, los tratan tan bien que sienten como si estuvieran en casa.",Alojamiento de lunes a domingo 12:00 am a 12:00 pm,https://www.tolima.travel/prestadores-turisticos/hotel-dann-combeima,3
Club Deportivo Tolima Real - Coopemtol,Ibagué,Recreacion,"Para los amantes del deporte y la distracción de la ciudad de Ibagué… En el club deportivo Tolima Real te podrás reunir con tus amigos a crear las mejores jugadas de fútbol o Básquet; tus hijos jugarán en su súper piscina mientras tu celebras ese triunfo de 5 a 0 en el restaurante donde te servirán unos deliciosos platos que solo los campeones como tú se merecen. Este gran y reconocido lugar, hará que lo guardes en tu corazón y te hará recordar que allí pasaste momentos increíbles. Importante, no olvides visitar su Coliseo cubierto con capacidad de 7000 personas, allí se han presenciado los mejores eventos y conciertos de la ciudad musical.",Lunes a domingo 8:00 am a 6:00 pm,https://www.tolima.travel/prestadores-turisticos/club-deportivo-tolima-real-coopemtol,3
Granja Piscícola El Carmen,Ibagué,Recreacion,"Pasar todo el día en el lago pescando y regresar a refrescarte a la piscina y luego a la comodidad del camping o las cabañas al final del día, será la mejor sensación de diversión que sentirás en la Granja Piscícola El Carmen; ubicado en un rinconcito caluroso en las montañas del Barrio El Salado de Ibagué, se convertirá en un lugar especial que no dejarás de visitar.",Todos los días menos los Miércoles 9:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/granja-piscicola-el-carmen,3
El Rancho de Poncho,Ibagué,Recreacion,"Diviértete, sonríe, comparte y celebra la vida te lo dice Poncho… Cuando visites a su rancho tu cuerpo se sentirá tan liviano, tu corazón tan feliz y tu mente tan despejada que tus días de mucho trabajo sentirán mucha envidia. Podrás hospedarte en sus lindas y campestres habitaciones, pasar un día soleado en su piscina y compartir con familia y amigos eventos especiales.",Lunes a Domingo 9:00 am a 6:00 pm,https://www.tolima.travel/prestadores-turisticos/el-rancho-de-poncho,3
Villa del Cantar,Ibagué,Recreacion,"Espacio que fomenta la música como parte de la construcción de la parte más noble del ser humano: Tu alma… toda una proeza musicalmente natural es Villa del Cantar, ubicada a 10 minutos del parque Principal del Salado en Ibagué y rodeada de espacios verdes y recreativos, te trasmitirán emociones y experiencias geniales que agregaras a tu libro de los mejores recuerdos de tus días de vacaciones.",Lunes a Domingo 9:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/villa-del-cantar,3
Finca Bella Vista,Ibagué,Hospedaje,"Finca Bellavista, incrustada en medio de montañas, naturaleza y tranquilidad. Con el mejor ambiente del Corredor Norte de Ibagué será el escenario perfecto para recrear momentos especiales; a tan solo 10 minutos del barrio El Salado, podrás invitar a tus allegados a que se hospeden y pase un delicioso rato en la recepción de tu matrimonio, tu cumpleaños o el bautizo de tu hijo rodeado de zonas verdes, instalaciones gigantes y una increíble panorámica de la ciudad, harán que estos momentos sean los más inolvidables en sus vidas. Diles que lleven su cámara, allí se verán los mejores atardeces y amaneceres de la ciudad.",Reservación previa 12:00 am a 12:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-bella-vista,3
Finca Casa Cristal,Ibagué,Recreacion,"Si estás cansado del ruido de la ciudad y buscas un lugar diferente que te genere tranquilidad, rodeado de vegetación y recreación, Casa Cristal será tu opción. Su hospedaje elegante y campestre, darán ese toque único a tus días de descanso, su salón de eventos con una hermosa vista serán el ambiente perfecto para el disfrute de tus invitados y su piscina será el santuario de tu reposo. Hospedarte o ir en plan de pasadía, cualquiera de estas dos opciones se convertirá en el mejor plan de tu fin de semana.",Martes a Domingos 8:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-casa-cristal,3
Reserva Natural EntreAguas,Ibagué,Aventura,"Reserva natural mágica ubicada en Ibagué que realza la belleza y tranquilidad de las montañas, en donde podrás disfrutar y aprender entre sus senderos, cascadas y aves. En la Reserva Natural EntreAguas te enteraras de las riquezas naturales y culturales de este gran territorio y vivirás experiencias que lograran enamorarte de la gente y el planeta, entendiendo que somos los promotores del cambio que queremos ver en el mundo. Te invitamos a compartir esta hermosa realidad.",Lunes a Domingo 9:00 am a 4:00 pm,https://www.tolima.travel/prestadores-turisticos/reserva-natural-entreaguas,3
Hotel Campestre Copiclub,Ibagué,Hospedaje,"Club Campestre Copiclub sinónimo de confortabilidad y entretenimiento, ubicado a 20 minutos del centro de la Ciudad de Ibagué en medio de un ambiente caluroso completo de relajación y con un estilo campestre, harán de tu estadía un verdadero sueño de vida.",Lunes a Domingo 7:00 am a 10:00 pm,https://www.tolima.travel/prestadores-turisticos/hotel-campestre-copiclub,4
Trailer Fantasma,Ibagué,Gastronomía,"En la casa del fantasma más famoso de Ibagué te darás esos gusticos gastronómicos que tanto has deseado. En su cocina fusión preparan una de las mejores hamburguesas artesanales que está repleta de ingredientes fantasmagóricos y otros platos fantasiosos que harán chuparte los dedos. No le temas al fantasma del comer rico, ve y ordena todo su menú.",Martes a Domingo 12:00 pm a 11:00 pm,https://www.tolima.travel/prestadores-turisticos/trailer-fantasma,4
Finca Las Palmas,Ibagué,Recreacion,"Las gigantescas palmas y la cancha de fútbol de Chucuní te guiaran hacia ella… diseñada para un entorno familiar con sensaciones de naturaleza y pizca de diversión, se convertirá en una de las mejores opciones cuando visites a esta linda vereda.",Alojamiento Lunes a Domingos 2:00 pm a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-las-palmas,4
Hotel Hacienda Calucayma,Ibagué,Hospedaje,"Un gran destino para cada fin de semana... El Hotel Hacienda Calucayma, antigua arquitectura transformada en confortable hotel, nombrada como uno de los cinco hoteles con encanto en nuestro departamento, con 5 has de parque donde el sonido del agua las quebradas, el cantar de los pájaros, la caminata y la quebrada harán de tu estadía en la hacienda una experiencia natural y relajante.","Viernes, Sábados y Domingos 8:00 am a 7:00 pm",https://www.tolima.travel/prestadores-turisticos/hotel-calucayma,4
Santorini Naturaleza Viva,Ibagué,Recreacion,"Pregúntate si lo que estás haciendo hoy te acerca al lugar donde quieres estar este fin de semana… Tal vez desees estar en Colombia Mia dándote un chapuzón en sus piscinas creada por la naturaleza en un rinconcito del caluroso Corredor Norte de Ibagué, por eso, acércate a este lugar y empieza a disfrutar lo maravilloso de la vida.",Sábados y Domingos 9:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-turistica-colombia-mia,4
Club Campestre Chucuní,Ibagué,Recreacion,"No importa que lejos estés de casa, este lugar te hará sentir en familia. El Club campestre Chucuní tiene servicios y espacios tan grandes como su amabilidad, en su gran piscina encaja perfectamente tus ganas de divertirte y en su hospedaje se ajusta al descanso que tanto buscas.","Sábados, domingos y festivos 9:00 am a 5:00 pm",https://www.tolima.travel/prestadores-turisticos/club-campestre-chucuni,4
Finca Campestre El Paraíso,Ibagué,Recreacion,"Todos sus servicios son un paraíso rodeados de un ambiente caluroso y campestre… Tus mañanas, tardes y noches estarán llenas de emocionantes actividades en su piscina o espacios verdes. La Finca Campestre el paraíso es energía y diversión para empezar bien todos tus días, por eso empaca tu mejor vestido de baño y visitala.",Sábados a Domingos 9:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-campestre-el-paraiso,4
Restaurante La Vianda Campestre,Ibagué,Gastronomía,"Donde calmaras todos tus antojos y harás feliz a tu paladar mientras disfrutas de la piscina y grandes zonas verdes. A tan solo 10 minutos del Barrio el Salado, un barrio de tierra feliz de la ciudad de Ibagué, encontrarás al Restaurante La Vianda Campestre, como su nombre lo indica, es especialista en comida típica y a la parrilla en un ambiente campestre. Allí podrás divertirte en pasadia o podrás organizar tus grandes eventos sociales.","Sábados, domingos y festivos 10:00 am a 5:00 pm",https://www.tolima.travel/prestadores-turisticos/restaurante-la-vianda-campestre,4
Restaurante vive mi Tolima,Ibagué,Gastronomía,"Vivirás, vivirás, vivirás mi Tolima…. El Restaurante con experiencia de encanto, sabor y folclor de Chucuní. Por ti y para que tu paladar no dejara de degustar la cocina tolimense, rescato la gastronomía típica de nuestro lindo departamento por medio de pescados, recetas ancestrales, bebidas típicas y amasijos. Cuando lo visites, pasaras momentos exquisitos acompañados de buena música y danza en vivo que te llevarán a vivir y te harán sentir como un hijo más de esta tierra.",Martes a Domingos 8:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/restaurante-vive-mi-tolima,4
Finca Ecoturistica San Javier,Ibagué,Recreacion,"Naturaleza pura, gente amable y grata la hallarás en La Finca Eco turística San Javier de Chucuní. A tan solo 30 minutos de la ciudad de Ibagué, vivirás días llenos de recreación, descanso y cultura enfocados en la conservación del medio ambiente. Realizar senderismo al río o avistamiento de aves, interactuar en la minigranja y sembrar algunas plantas en sus huertas son considerados como los momentos más especiales y sobrenaturales. Por eso, ayuda un poco al planeta disfrutándolo junto a tu familia y amigos.",Lunes a Domingos 9:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-ecoturistica-san-javier,4
Finca Ecoturistica Villa Leones,Ibagué,Recreacion,"¿Te encanta pasar tus días libres en un clima caluroso? Obligatoriamente tienes que visitar a la Finca Ecoturistica Villa Leones, podrás divertirte en sus múltiples escenarios deportivos, refrescarte en su piscina natural y tratada y terminar el día hospedandote con tu familia o pareja; indudablemente, tus días libres serán los mejores.",Pasadia Lunes a Domingo 9:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-ecoturistica-villa-leones,4
